Numero de documentos del corpus: 3888
Numero de palabras del corpus: 342305
Palabra:aa	Frec:90	LogProb:0.00022890951030973217
Palabra:aaa	Frec:43	LogProb:0.00011068152146844193
Palabra:aaabattery	Frec:1	LogProb:0.000005030978248565542
Palabra:aaar	Frec:0	LogProb:0.000002515489124282771
Palabra:aaas	Frec:0	LogProb:0.000002515489124282771
Palabra:aac	Frec:31	LogProb:0.00008049565197704868
Palabra:aachen	Frec:0	LogProb:0.000002515489124282771
Palabra:aadhaar	Frec:4	LogProb:0.000012577445621413855
Palabra:aadhar	Frec:1	LogProb:0.000005030978248565542
Palabra:aadhunik	Frec:0	LogProb:0.000002515489124282771
Palabra:aadhya	Frec:0	LogProb:0.000002515489124282771
Palabra:aadi	Frec:0	LogProb:0.000002515489124282771
Palabra:aadmi	Frec:0	LogProb:0.000002515489124282771
Palabra:aadmora	Frec:0	LogProb:0.000002515489124282771
Palabra:aadvay	Frec:0	LogProb:0.000002515489124282771
Palabra:aai	Frec:0	LogProb:0.000002515489124282771
Palabra:aaiffel	Frec:0	LogProb:0.000002515489124282771
Palabra:aaj	Frec:0	LogProb:0.000002515489124282771
Palabra:aakash	Frec:0	LogProb:0.000002515489124282771
Palabra:aakrithi	Frec:0	LogProb:0.000002515489124282771
Palabra:aal	Frec:1	LogProb:0.000005030978248565542
Palabra:aalim	Frec:0	LogProb:0.000002515489124282771
Palabra:aam	Frec:0	LogProb:0.000002515489124282771
Palabra:aamazing	Frec:0	LogProb:0.000002515489124282771
Palabra:aamchur	Frec:0	LogProb:0.000002515489124282771
Palabra:aameria	Frec:0	LogProb:0.000002515489124282771
Palabra:aamras	Frec:0	LogProb:0.000002515489124282771
Palabra:aandhi	Frec:0	LogProb:0.000002515489124282771
Palabra:aandwiches	Frec:0	LogProb:0.000002515489124282771
Palabra:aania	Frec:0	LogProb:0.000002515489124282771
Palabra:aanya	Frec:0	LogProb:0.000002515489124282771
Palabra:aanyacentric	Frec:0	LogProb:0.000002515489124282771
Palabra:aao	Frec:0	LogProb:0.000002515489124282771
Palabra:aar	Frec:0	LogProb:0.000002515489124282771
Palabra:aaram	Frec:0	LogProb:0.000002515489124282771
Palabra:aarav	Frec:0	LogProb:0.000002515489124282771
Palabra:aarbee	Frec:0	LogProb:0.000002515489124282771
Palabra:aarfa	Frec:0	LogProb:0.000002515489124282771
Palabra:aari	Frec:0	LogProb:0.000002515489124282771
Palabra:aarika	Frec:0	LogProb:0.000002515489124282771
Palabra:aarka	Frec:0	LogProb:0.000002515489124282771
Palabra:aaron	Frec:0	LogProb:0.000002515489124282771
Palabra:aaronovitch	Frec:0	LogProb:0.000002515489124282771
Palabra:aarsun	Frec:0	LogProb:0.000002515489124282771
Palabra:aart	Frec:0	LogProb:0.000002515489124282771
Palabra:aarti	Frec:0	LogProb:0.000002515489124282771
Palabra:aas	Frec:0	LogProb:0.000002515489124282771
Palabra:aasa	Frec:0	LogProb:0.000002515489124282771
Palabra:aashi	Frec:0	LogProb:0.000002515489124282771
Palabra:aashiqui	Frec:0	LogProb:0.000002515489124282771
Palabra:aashirya	Frec:0	LogProb:0.000002515489124282771
Palabra:aashto	Frec:0	LogProb:0.000002515489124282771
Palabra:aassembly	Frec:1	LogProb:0.000005030978248565542
Palabra:aata	Frec:0	LogProb:0.000002515489124282771
Palabra:aatachable	Frec:0	LogProb:0.000002515489124282771
Palabra:aati	Frec:0	LogProb:0.000002515489124282771
Palabra:aattractive	Frec:0	LogProb:0.000002515489124282771
Palabra:aatu	Frec:0	LogProb:0.000002515489124282771
Palabra:aaux	Frec:1	LogProb:0.000005030978248565542
Palabra:aavishkar	Frec:0	LogProb:0.000002515489124282771
Palabra:aavjo	Frec:1	LogProb:0.000005030978248565542
Palabra:aayog	Frec:2	LogProb:0.000007546467372848313
Palabra:aazeem	Frec:0	LogProb:0.000002515489124282771
Palabra:ab	Frec:21	LogProb:0.00005534076073422097
Palabra:aba	Frec:0	LogProb:0.000002515489124282771
Palabra:ababa	Frec:0	LogProb:0.000002515489124282771
Palabra:abacus	Frec:0	LogProb:0.000002515489124282771
Palabra:abandon	Frec:1	LogProb:0.000005030978248565542
Palabra:abandoned	Frec:0	LogProb:0.000002515489124282771
Palabra:abandoning	Frec:0	LogProb:0.000002515489124282771
Palabra:abandons	Frec:0	LogProb:0.000002515489124282771
Palabra:abap	Frec:0	LogProb:0.000002515489124282771
Palabra:abarata	Frec:0	LogProb:0.000002515489124282771
Palabra:abattery	Frec:1	LogProb:0.000005030978248565542
Palabra:abaya	Frec:0	LogProb:0.000002515489124282771
Palabra:abayas	Frec:0	LogProb:0.000002515489124282771
Palabra:abb	Frec:2	LogProb:0.000007546467372848313
Palabra:abba	Frec:0	LogProb:0.000002515489124282771
Palabra:abbasi	Frec:0	LogProb:0.000002515489124282771
Palabra:abbasid	Frec:0	LogProb:0.000002515489124282771
Palabra:abbe	Frec:1	LogProb:0.000005030978248565542
Palabra:abbey	Frec:0	LogProb:0.000002515489124282771
Palabra:abbott	Frec:0	LogProb:0.000002515489124282771
Palabra:abbreviation	Frec:0	LogProb:0.000002515489124282771
Palabra:abbreviations	Frec:0	LogProb:0.000002515489124282771
Palabra:abby	Frec:0	LogProb:0.000002515489124282771
Palabra:abbyhus	Frec:0	LogProb:0.000002515489124282771
Palabra:abc	Frec:3	LogProb:0.000010061956497131085
Palabra:abcdab	Frec:0	LogProb:0.000002515489124282771
Palabra:abcs	Frec:0	LogProb:0.000002515489124282771
Palabra:abd	Frec:1	LogProb:0.000005030978248565542
Palabra:abdomen	Frec:0	LogProb:0.000002515489124282771
Palabra:abdominal	Frec:0	LogProb:0.000002515489124282771
Palabra:abdomino	Frec:0	LogProb:0.000002515489124282771
Palabra:abdool	Frec:0	LogProb:0.000002515489124282771
Palabra:abdul	Frec:1	LogProb:0.000005030978248565542
Palabra:abe	Frec:0	LogProb:0.000002515489124282771
