Numero de documentos del corpus: 7561
Numero de palabras del corpus: 542829
Palabra:aa	Frec:63	LogProb:0.00010701249538090596
Palabra:aaa	Frec:31	LogProb:0.00005350624769045298
Palabra:aaabattery	Frec:0	LogProb:0.0000016720702403266556
Palabra:aaar	Frec:0	LogProb:0.0000016720702403266556
Palabra:aaas	Frec:0	LogProb:0.0000016720702403266556
Palabra:aac	Frec:1	LogProb:0.000003344140480653311
Palabra:aachen	Frec:0	LogProb:0.0000016720702403266556
Palabra:aadhaar	Frec:0	LogProb:0.0000016720702403266556
Palabra:aadhar	Frec:0	LogProb:0.0000016720702403266556
Palabra:aadhunik	Frec:0	LogProb:0.0000016720702403266556
Palabra:aadhya	Frec:3	LogProb:0.000006688280961306622
Palabra:aadi	Frec:1	LogProb:0.000003344140480653311
Palabra:aadmi	Frec:0	LogProb:0.0000016720702403266556
Palabra:aadmora	Frec:1	LogProb:0.000003344140480653311
Palabra:aadvay	Frec:2	LogProb:0.000005016210720979967
Palabra:aai	Frec:2	LogProb:0.000005016210720979967
Palabra:aaiffel	Frec:0	LogProb:0.0000016720702403266556
Palabra:aaj	Frec:0	LogProb:0.0000016720702403266556
Palabra:aakash	Frec:0	LogProb:0.0000016720702403266556
Palabra:aakrithi	Frec:0	LogProb:0.0000016720702403266556
Palabra:aal	Frec:0	LogProb:0.0000016720702403266556
Palabra:aalim	Frec:1	LogProb:0.000003344140480653311
Palabra:aam	Frec:4	LogProb:0.000008360351201633279
Palabra:aamazing	Frec:1	LogProb:0.000003344140480653311
Palabra:aamchur	Frec:1	LogProb:0.000003344140480653311
Palabra:aameria	Frec:1	LogProb:0.000003344140480653311
Palabra:aamras	Frec:1	LogProb:0.000003344140480653311
Palabra:aandhi	Frec:0	LogProb:0.0000016720702403266556
Palabra:aandwiches	Frec:1	LogProb:0.000003344140480653311
Palabra:aania	Frec:0	LogProb:0.0000016720702403266556
Palabra:aanya	Frec:1	LogProb:0.000003344140480653311
Palabra:aanyacentric	Frec:1	LogProb:0.000003344140480653311
Palabra:aao	Frec:0	LogProb:0.0000016720702403266556
Palabra:aar	Frec:0	LogProb:0.0000016720702403266556
Palabra:aaram	Frec:3	LogProb:0.000006688280961306622
Palabra:aarav	Frec:1	LogProb:0.000003344140480653311
Palabra:aarbee	Frec:0	LogProb:0.0000016720702403266556
Palabra:aarfa	Frec:0	LogProb:0.0000016720702403266556
Palabra:aari	Frec:2	LogProb:0.000005016210720979967
Palabra:aarika	Frec:0	LogProb:0.0000016720702403266556
Palabra:aarka	Frec:3	LogProb:0.000006688280961306622
Palabra:aaron	Frec:0	LogProb:0.0000016720702403266556
Palabra:aaronovitch	Frec:0	LogProb:0.0000016720702403266556
Palabra:aarsun	Frec:15	LogProb:0.00002675312384522649
Palabra:aart	Frec:18	LogProb:0.00003176933456620646
Palabra:aarti	Frec:4	LogProb:0.000008360351201633279
Palabra:aas	Frec:0	LogProb:0.0000016720702403266556
Palabra:aasa	Frec:0	LogProb:0.0000016720702403266556
Palabra:aashi	Frec:4	LogProb:0.000008360351201633279
Palabra:aashiqui	Frec:0	LogProb:0.0000016720702403266556
